FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Coryphistes ruricola,,,,,,,,,6.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Crucinotacris werneriana,,,,,,,,,,,3.7,9,,,,,,,,,,,,,,,14.5,9,,,X,,,,,
Acrididae,Cryptobothrus chrysophorus,,,,,,,,,4.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Cyrtacanthacris aeruginosa,,,,,,,,,,,6.925,9,,,,,,,,,,,,,,,108.5,9,,,X,,,,,
Acrididae,Dactylotum bicolor,,,,,,,,,,,5.27,55,1.45,55,,,,,,,,,,,,,13.85,55,,,,,,,,
Acrididae,Derotmema haydeni,16.25,1,22.5,1,19.375,1,19.375,1,4.25,1,4.45,"1,55",1.12,55,40,1,,,,,Univoltine,1,1,0,0,0,14.25,"1,55",,,X,,,X,,X
Acrididae,Diabolocatantops axillaris,,,,,,,43.6,7,,,5.05,1,,,,,,,,,,,,,,,49.5,9,,,X,,,,,
Acrididae,Dichromorpha viridis,,,,,,,,,,,4.56,55,1.09,55,,,,,,,,,,,,,26.8,55,,,,,,,,
Acrididae,Dichroplus maculipennis ,,,,,,,,,,,,,,,,,52.7,51,,,Univoltine,51,1,0,0,0,24.65,51,2.47,51,,,,,,
Acrididae,Dissosteira carolina,30.5,1,37.75,1,34.125,1,34.125,1,6.75,1,5.3,1,,,47.5,1,,,,,,,,,,,53.5,1,,,X,X,X,X,,X
Acrididae,Dissosteira longipennis,33,1,40,1,36.5,1,36.5,1,7.8,1,5,1,,,44.5,1,,,,,,,,,,,65,1,,,X,,,X,,X
Acrididae,Dnopherula pictipes,,,,,,,,,,,3.65,9,,,,,,,,,,,,,,,19,9,,,X,,,,,
Acrididae,Dociostaurus maroccanus,,,,,,,,,,,,,,,,,,,,,Univoltine,59,1,0,0,0,25,59,,,,,,,,
Acrididae,Duronia chloronata,,,,,,,,,,,4.7,9,,,,,,,,,,,,,,,33,9,,,X,,,,,
Acrididae,Ecphantus quadrilobus,,,,,,,,,4.75,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Encoptolophus costalis,16.75,1,23.5,1,20.125,1,20.125,1,4.6,1,4.2,1,,,61,1,,,,,Variable,1,1,1,0,0,17,1,,,X,,,X,,X
Acrididae,Encoptolophus sordidus,,,,,,,,,,,3.94,55,1,55,,,,,,,,,,,,,16.4,55,,,,,,,,
Acrididae,Eritettix abortivus,,,,,,,,,,,3.58,55,1.2,55,,,,,,,,,,,,,12,55,,,,,,,,
Acrididae,Eritettix simplex,15.75,1,22.75,1,19.25,1,19.25,1,7.05,1,4.4,1,,,273.8,1,,,,,,,,,,,18,1,,,X,,,X,,X
Acrididae,Eumecistes gratiosus,,,,,,,,,6.7,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Exopropacris decipiens,,,,,,,,,,,5.6,9,,,,,,,,,,,,,,,19,9,,,X,,,,,
Acrididae,Eyprepocnemis capitatus,,,,,,,,,,,5.45,9,,,,,,,,,,,,,,,55,9,,,X,,,,,
Acrididae,Eyprepocnemis roseus,19,52,27,52,23,52,23,52,4.05,52,5.15,10,,,46.25,52,,,,,,,,,,,14,10,,,,,,X,,
Acrididae,Faureia milajica,,,,,,,,,,,4.75,9,,,,,,,,,,,,,,,11.5,9,,,X,,,,,
Acrididae,Fipurga crassa,,,,,,,,,5.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Froggattina australis,,,,,,,,,4.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Gastrimargus africanus,25.85,52,37.5,52,31.675,52,31.675,52,,,4.75,9,,,,,,,,,Variable,52,1,1,0,0,50,9,,,X,,,,,
Acrididae,Gastrimargus marmoratus,29.5,52,43.75,52,36.625,52,36.625,52,,,4.875,10,,,,,,,,,Bivoltine,52,0,1,0,0,84,10,,,,,,X,,
Acrididae,Gastrimargus musicus,,,,,,,,,5.5,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Gymnobothrus gracilis,,,,,,,,,,,3.7,9,,,,,,,,,,,,,,,11,9,,,X,,,,,
Acrididae,Gymnobothrus temporalis,,,,,,,,,,,3.7,9,,,,,,,,,,,,,,,11,9,,,X,,,,,
Acrididae,Gomphoceripppus rufus,15,2,20.5,2,17.75,2,17.75,2,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,
Acrididae,Gomphocerus sibiricus,20.5,2,22,2,21.25,2,21.25,2,,,,,,,,,,,,,Univoltine,7,1,0,0,0,,,,,X,,,,,
Acrididae,Goniaea australasiae,,,,,,,,,7,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Goniaea opomaloides,,,,,,,,,7.65,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Goniaea vocans,,,,,,,,,7.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Goniaeoidea rufotestacea,,,,,,,,,6.2,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Hadrotettix trifasciatus,26,1,31.75,1,28.875,1,28.875,1,7.8,1,7.34,"1,55",1.92,55,59,1,,,,,,,,,,,22,1,,,X,X,,X,,X
Acrididae,Heliastus subroseus,,,,,,,,,,,6.28,55,1.46,55,,,,,,,,,,,,,14.5,55,,,,,,,,
Acrididae,Hesperotettix speciosus,,,,,,,,,,,5.41,55,1.42,55,,,,,,,,,,,,,16.6,55,,,,,,,,
Acrididae,Hesperotettix virdis,20,1,21,1,20.5,1,20.5,1,5.65,1,4.955,"1,55",1.42,55,48.25,1,,,,,,,,,,,9,"1,55",,,X,X,,,,
Acrididae,Heteropternis obscurella,,,,,,,,,4.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Hieroglyphodes assamensis,,,,,,,,,,,5.575,10,,,,,,,,,,,,,,,28,10,,,,,,X,,
Acrididae,Hippiscus ocelote,,,,,,,,,,,6.07,55,1.5,55,,,,,,,,,,,,,49,55,,,,,,,,
Acrididae,Humbe tenuicornis,,,,,,,,,,,5.3,9,,,,,,,,,Variable,7,1,0,1,0,29,9,,,X,,,,,
Acrididae,Hypochlora alba,15.55,1,19.5,1,17.525,1,17.525,1,5.5,1,4.36,"1,55",1.09,55,45,1,,,,,,,,,,,9.555,"1,55",,,X,X,,X,,X
Acrididae,Kosciuscola cognatus,,,,,,,,,4.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Lactista azteca,,,,,,,,,,,4.27,55,1.1,55,,,,,,,,,,,,,13,55,,,,,,,,
Acrididae,Laxabilla smaragdina,,,,,,,,,4.1,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Leptysma marginicollis,,,,,,,,,,,7.51,55,0.97,55,,,,,,,,,,,,,6.43,55,,,,,,,,
Acrididae,Locusta migratoria,,,,,,,43,2,8.3,53,6.558,"7,9",,,,,,,,,Variable,7,1,1,1,0,71.5,9,,,X,,,X,,
Acrididae,Locustana pardalina,,,,,,,,,,,,,,,,,,,,,Variable,"7,59",0,1,1,1,42,59,4.5,59,,,,,,
Acrididae,Macrotona australis,,,,,,,,,6.3,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Macrotona securiformis,,,,,,,,,6.8,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Mecostethus alliaceus,20,2,30,2,25,2,25,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Melanoplus alpinus,18,1,22.25,1,20.125,1,20.125,1,4.85,1,4.65,1,,,32.5,1,,,,,Semivoltine,7,0,0,0,1,10,1,,,X,,,X,X,
